Filename,alert_type,Frame_Number,Id,label,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,MovingSideWays,Rotation,AbsAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,BoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,AbsMedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,AbsXFit.Intercept,AbsXFit.Slope,AbsAnglesFit.Intercept,AbsAnglesFit.Slope,AbsAnglesToCloserSideFit.Intercept,AbsAnglesToCloserSideFit.Slope,AbsAnglesToFurtherSideFit.Intercept,AbsAnglesToFurtherSideFit.Slope,AbsAngularVelocityFit.Intercept,AbsAngularVelocityFit.Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Safe_Distance_01.mp4,Safe_Distance,39,555,1,0,0,0,1,0,1,0,3.142,15.34,-5.135,1.188,0.629,3.635,3.505,0.962,-0.325,60.013,35.169,6.172,1.47,1.15,4.078,0.962,3.966,13.444,-0.151,0.27,0.935,0.43,0.991,0.026,0.477,0.89,1.169,2.746,2.669,0.589,33.704,17.253,0,-7.918,-3.955,4.734,-0.187,1.018,-0.016,1.018,-0.016,12.086,0.388,2.96,0.395,25.712,0.935,0.245,0.007,3.179,0.438,0.573,0.004,0.128,0.005,0.182,0.01,3.142,0,-0.117,-0.01,0.096,0.43,0.531,1.14,64.361,47.979,197875632,2302.062,-0.02,-0.027,0.046,2.874
Safe_Distance_01.mp4,Safe_Distance,40,555,1,0,0,0,1,0,1,0,3.142,15.592,-5.554,1.142,0.617,3.603,3.47,0.968,-0.349,60.244,35.018,6.364,1.416,1.109,3.884,0.962,3.767,14.089,-0.162,0.27,0.975,0.387,0.988,0.025,0.694,0.936,1.12,2.844,2.511,0.566,50.657,19.546,0,-7.93,-3.966,4.449,-0.162,0.982,-0.006,0.982,-0.006,12.702,0.396,3.188,0.396,26.881,0.947,0.199,0.02,3.692,0.438,0.576,0.004,0.134,0.005,0.194,0.01,3.142,0,-0.131,-0.009,0.075,0.404,0.551,0.977,64.656,47.825,154659328,2287.344,-0.023,-0.017,0.038,2.869
Safe_Distance_01.mp4,Safe_Distance,41,555,1,0,0,0,1,0,1,0,3.142,15.902,-6.001,1.068,0.537,3.538,3.403,0.969,-0.37,60.396,34.565,6.673,1.333,1.085,3.755,0.962,3.63,14.8,-0.162,0.308,1.012,0.305,0.911,0.028,1.054,0.969,0.936,2.774,2.726,0.53,64.903,28.5,0,-7.946,-3.973,4.153,-0.114,0.957,0.001,0.957,0.001,13.338,0.418,3.501,0.341,28.159,0.927,0.214,0.027,4.286,0.391,0.582,0.004,0.14,0.005,0.208,0.008,3.142,0,-0.145,-0.005,0.04,0.469,0.464,0.916,65.035,47.658,148926064,2271.386,0.022,-0.008,-0.029,2.864
Safe_Distance_01.mp4,Safe_Distance,42,555,1,0,0,0,1,0,1,0,3.142,16.603,-5.921,1.274,0.39,3.431,3.288,0.98,-0.354,60.55,33.728,7.194,1.274,1.106,3.67,0.962,3.542,15.197,-0.162,0.375,1.059,0.23,0.846,0.036,1.164,0.981,0.759,2.755,3.348,0.477,51.33,37.5,0,-7.955,-3.968,3.976,-0.087,0.947,0.004,0.947,0.004,13.631,0.448,4.019,0.273,29.023,0.914,0.254,0.035,4.743,0.361,0.588,0.003,0.145,0.005,0.219,0.007,3.142,0,-0.188,0.007,0.025,0.633,0.424,0.904,65.534,47.699,416716640,2275.355,0.022,-0.007,-0.022,2.852
Safe_Distance_01.mp4,Safe_Distance,43,555,1,0,0,0,1,0,1,0,3.142,16.73,-6.451,1.261,0.286,3.357,3.215,0.966,-0.377,60.613,33.058,7.592,1.239,1.134,3.619,0.965,3.488,15.466,-0.162,0.39,0.967,0.184,0.812,0.044,1.123,0.985,0.608,2.61,3.097,0.442,39.031,44.161,0,-7.959,-3.961,3.879,-0.074,0.949,0.004,0.949,0.004,14.093,0.392,4.356,0.282,30.181,0.777,0.301,0.026,5.037,0.352,0.593,0.003,0.15,0.005,0.226,0.007,3.142,0,-0.226,0.018,0.018,0.493,0.398,0.908,65.825,47.495,452640736,2255.956,0.02,-0.012,-0.018,2.85
Safe_Distance_01.mp4,Safe_Distance,44,555,1,0,0,0,1,0,1,0,3.142,16.352,-7.409,1.21,0.325,3.299,3.166,0.929,-0.425,60.44,32.351,7.89,1.231,1.116,3.571,0.965,3.437,15.747,-0.138,0.39,0.725,0.163,0.798,0.05,1.024,0.972,0.504,2.424,2.186,0.418,41.618,46.839,0,-7.961,-3.965,3.814,-0.07,0.959,0.002,0.959,0.002,14.618,0.323,4.538,0.343,31.048,0.737,0.335,0.016,5.308,0.346,0.597,0.002,0.155,0.005,0.232,0.007,3.142,0,-0.208,0.02,0.015,0.314,0.364,0.921,65.952,47.106,404618432,2219.186,0.017,-0.025,-0.017,2.856
Safe_Distance_01.mp4,Safe_Distance,45,555,1,0,0,0,1,0,1,0,3.142,16.145,-8.04,1.543,1.322,3.256,3.127,0.905,-0.455,60.383,31.939,8.091,1.228,1.081,3.485,0.965,3.346,16.024,-0.101,0.39,0.563,0.156,0.783,0.05,0.782,0.948,0.45,2.25,1.675,0.402,54.476,46.903,0,-7.965,-3.976,3.722,-0.068,0.977,-0.004,0.977,-0.004,15.203,0.235,4.421,0.44,32.24,0.647,0.424,-0.01,5.74,0.341,0.6,0.001,0.16,0.005,0.24,0.007,3.142,0,-0.171,0.02,0.013,0.164,0.334,0.96,66.05,46.852,662844992,2195.424,-0.014,-0.038,0.016,2.86
Safe_Distance_01.mp4,Safe_Distance,46,555,1,0,0,0,1,0,1,0,3.142,16.431,-8.194,1.345,0.31,3.234,3.101,0.915,-0.461,60.522,31.965,8.155,1.202,1.049,3.394,0.964,3.252,16.249,-0.081,0.39,0.459,0.147,0.736,0.044,0.308,0.923,0.401,1.983,1.391,0.397,75.017,48.506,0,-7.97,-3.985,3.618,-0.064,0.996,-0.009,0.996,-0.009,15.742,0.145,4.648,0.451,33.401,0.532,0.508,-0.034,6.293,0.314,0.602,0.001,0.164,0.005,0.251,0.006,3.142,0,-0.14,0.017,0.011,0.064,0.266,1.026,66.295,46.802,464132064,2190.685,-0.008,-0.042,0.014,2.855
Safe_Distance_01.mp4,Safe_Distance,47,555,1,0,0,0,1,0,1,0,3.142,16.801,-8.091,1.134,0.481,3.162,3.027,0.914,-0.445,60.193,31.089,8.47,1.172,1.04,3.328,0.948,3.19,16.392,-0.072,0.357,0.392,0.144,0.7,0.032,0.25,0.901,0.441,2.106,1.209,0.373,70.326,49.03,0,-7.973,-3.985,3.546,-0.062,0.984,-0.01,0.984,-0.01,15.924,0.134,5.393,0.439,34.003,0.452,0.541,-0.052,6.694,0.299,0.604,0,0.17,0.004,0.259,0.005,3.142,0,-0.103,0.009,0.012,0.055,0.269,1.012,66.705,46.817,251982752,2191.925,-0.004,-0.046,0.012,2.848
Safe_Distance_01.mp4,Safe_Distance,48,555,1,0,0,0,1,0,1,0,3.142,16.977,-8.213,1.111,0.512,3.102,2.967,0.906,-0.443,60.268,30.643,8.777,1.141,1.062,3.277,0.922,3.146,16.517,-0.069,0.279,0.334,0.133,0.64,0.017,0.323,0.87,0.436,2.104,1.074,0.353,55.325,53.449,0,-7.976,-3.98,3.475,-0.057,0.962,-0.012,0.962,-0.012,16.108,0.117,6.369,0.387,34.445,0.358,0.471,-0.055,7.01,0.28,0.606,0,0.176,0.004,0.265,0.005,3.142,0,-0.086,0.005,0.01,0.044,0.258,0.979,66.872,46.774,206054352,2187.909,-0.004,-0.043,0.009,2.845
