Filename,alert_type,Abs_XFit_Intercept,Abs_XFit_Slope,Frame_Number,Id,label,TiltAngle,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,Rotation,AbsAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,BoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,Abs_MedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,ClosestVector,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,Abs_XFit_Intercept,Abs_XFit_Slope,,Abs_AnglesFit_Intercept,Abs_AnglesFit_Slope,Abs_AnglesToCloserSideFit_Intercept,Abs_AnglesToCloserSideFit_Slope,Abs_AnglesToFurtherSideFit_Intercept,Abs_AnglesToFurtherSideFit_Slope,Abs_AngularVelocityFit_Intercept,Abs_AngularVelocityFit_Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Front_Alert_False_Lane_Splitting_39.mp4,Front_Collision,4.13,-0.167,488,3172,0,0,0,0,1,0,0,0,1.571,53.302,-24.298,0.897,0.257,3.718,2.222,2.981,1.53,63.289,0,28.706,1.24,1.188,4.519,3.544,2.807,52.17,-0.064,0.072,0.923,0.497,3.005,0.228,1.69,2.791,1.583,8.822,3.147,0.13,-1.451,14.573,15.932,0,-7.959,-3.947,5.293,-0.221,3.291,-0.138,4.13,-0.167,0.305,51.507,0.19,41.083,-2.175,59.769,0.618,0.491,-0.12,17.823,1.227,0.503,0.01,0.25,0.019,0.426,0.013,1.571,0,0.243,-0.088,0.156,0.123,4.417,17.083,41.067,2.086,586284.875,4.485,-0.164,0.094,0,2.501
Front_Alert_False_Forward_02.mp4,Front_Collision,2.779,-0.079,179,1419,0,0,0,0,1,0,0,1,1.571,43.626,-1.956,0.939,0.16,3.275,2.371,2.26,-0.112,56.717,0,9.905,1.648,1.348,4.301,2.503,3.493,35.73,-0.468,1.211,4.615,0.804,1.879,0.093,1.874,2.149,2.536,5.669,14.123,0.331,2.148,11.486,8.412,0,-7.857,-3.888,5.466,-0.333,4.762,-0.363,2.779,-0.079,0.442,28.692,2.011,2.779,-0.234,49.564,1.809,0.535,0.193,3.221,0.774,0.56,0.001,0.288,0.025,0.189,0.016,1.571,0,-0.563,0.027,0.35,12.376,1.807,7.73,97.421,49.271,454795040,2427.863,0.214,-0.116,-0.046,2.332
Front_Alert_False_Forward_02.mp4,Front_Collision,2.86,-0.091,178,1419,0,0,0,0,1,0,0,1,1.571,41.754,-1.483,0.96,0.157,3.52,2.626,2.344,-0.091,56.218,0,8.485,1.541,1.338,4.509,2.541,3.726,34.29,-0.468,1.033,4.305,0.885,1.471,0.214,2.076,2.129,2.601,4.346,12.686,0.415,2.253,8.586,7.431,0,-7.888,-3.883,5.832,-0.378,5.139,-0.404,2.86,-0.091,0.495,27.746,1.87,3.152,-0.234,48.477,1.751,0.483,0.157,3.235,0.61,0.56,0,0.282,0.022,0.187,0.013,1.571,0,-0.399,-0.02,0.42,10.304,1.101,8.189,94.785,49.467,469062240,2447.191,0.178,-0.093,-0.044,2.3
Front_Alert_False_Junction_67.mp4,Front_Collision,3.656,-0.131,24,959,0,0,0,0,1,0,0,0,1.571,42.372,-9.064,0.995,0.216,4.491,3.318,3.027,0.708,58.293,0,7.17,1.239,1.07,4.526,3.197,3.255,45.827,-0.082,0.952,2.305,0.271,0.737,0.054,15.926,2.607,0.793,2.184,7.241,0.626,-2.319,-93.643,40.751,0,-7.963,-3.977,4.876,-0.1,3.296,-0.012,3.656,-0.131,0.143,49.37,-1.012,26.374,-2.647,61.278,-0.289,0.713,0.068,5.104,0.317,0.572,-0.001,0.326,0.008,0.227,0.006,1.571,0,-0.02,-0.018,0.029,3.22,0.297,13.381,46.806,10.597,19532914,112.464,-0.132,-0.065,0.003,2.31
Front_Alert_False_Forward_02.mp4,Front_Collision,3.015,-0.109,177,1419,0,0,0,0,1,0,0,1,1.571,39.692,-1.625,0.996,0.172,3.722,2.864,2.377,-0.106,56.324,0,7.379,1.448,1.27,4.847,2.634,4.07,32.969,-0.468,0.982,3.825,1.051,1.122,0.29,1.815,2.145,3.299,3.383,11.485,0.504,2.272,11.043,6.95,0,-7.916,-3.914,6.329,-0.423,5.626,-0.445,3.015,-0.109,0.554,27.292,1.622,2.829,-0.109,47.635,1.619,0.728,0.073,3.217,0.454,0.56,0,0.278,0.018,0.183,0.01,1.571,0,-0.185,-0.081,0.562,7.898,0.623,9.101,91.658,49.411,465717920,2441.61,0.165,-0.08,-0.04,2.264
Front_Alert_False_Junction_14.mp4,Front_Collision,4.212,-0.305,906,340,0,0,0,0,1,0,0,1,1.571,36.166,-4.897,0.997,0.104,3.804,3.071,2.245,-0.325,53.614,0,7.469,1.164,1.018,4.163,3.146,2.933,49.056,-0.313,-1.725,5.087,0.651,0.662,0.027,6.501,1.774,1.814,1.901,15.591,0.509,1.92,35.149,10.102,0,-7.975,-3.993,5.161,-0.285,3.269,-0.096,4.212,-0.305,0.401,55.56,-1.858,43.276,-5.734,62.136,-0.337,1.592,0.267,6.375,0.264,0.527,0.002,0.299,0.021,0.253,0.005,1.571,0,-0.34,0.055,0.226,10.584,0.2,17.836,90.93,48.024,496233760,2306.539,-0.327,-0.003,-0.029,2.202
Front_Alert_False_Night_10.mp4,Front_Collision,5.177,-0.152,108,3296,0,0,0,0,1,0,0,0,1.571,53.78,-29.093,0.999,0.349,4.636,2.739,3.74,2.254,65.298,0,14.232,1.578,1.061,6.548,4.646,4.497,46.614,-0.225,-1.475,3.824,0.924,2.656,0.132,4.135,3.963,2.448,6.135,10.351,0.326,-1.486,6.871,13.831,0,-7.922,-3.986,7.798,-0.357,5.635,-0.325,5.177,-0.152,0.477,41.109,1.573,22.309,0.805,53.326,1.549,1.378,0.195,7.868,1.03,0.578,0.007,0.204,0.017,0.281,0.016,1.571,0,-0.094,-0.263,0.338,6.696,2.45,26.829,42.767,9.909,11824502,98.314,0.153,-0.032,0.014,2.509
Front_Alert_False_Junction_14.mp4,Front_Collision,4.554,-0.35,581,304,0,0,0,0,1,0,0,1,1.571,38.182,-2.834,1.006,0.153,3.772,2.965,2.332,-0.186,55.404,0,8.726,1.265,1.072,4.419,3.33,2.981,48.88,-0.361,-1.629,4.716,0.956,1.026,0,2.93,1.757,2.953,3,15.943,0.432,2.145,21.405,7.732,0,-7.954,-3.984,5.683,-0.361,3.468,-0.139,4.554,-0.35,0.489,54.581,-1.629,42.826,-5.591,62.28,-0.187,1.629,0,6.197,0.482,0.534,0.004,0.284,0.023,0.25,0.009,1.571,0,-0.361,0,0.403,8.967,0.678,20.857,90.696,48.758,472820864,2377.582,-0.325,-0.009,-0.035,2.237
Front_Alert_False_Night_10.mp4,Front_Collision,4.633,-0.192,110,3296,0,0,0,0,1,0,0,0,1.571,55.003,-31.559,1.008,0.36,4.592,2.633,3.761,2.403,65.584,0,15.394,1.297,1.06,5.043,3.961,3.12,51.772,-0.373,-1.565,3.844,0.968,2.366,0.125,4.752,3.096,2.493,7.176,10.354,0.298,-1.358,48.846,8.448,0,-7.956,-3.982,6.406,-0.389,4.36,-0.354,4.633,-0.192,0.546,46.322,1.557,25.068,0.965,57.977,1.541,1.46,0.07,11.283,0.843,0.605,0.007,0.243,0.017,0.336,0.012,1.571,0,-0.27,-0.069,0.391,6.53,2.157,21.505,43.251,10.21,12348344,104.372,0.173,0.023,0.008,2.531
Front_Alert_False_Night_10.mp4,Front_Collision,5.013,-0.192,109,3296,0,0,0,0,1,0,0,0,1.571,54.521,-30.637,1.013,0.363,4.609,2.675,3.753,2.349,65.57,0,14.91,1.465,1.019,5.762,4.341,3.843,48.958,-0.357,-1.573,3.985,0.996,2.641,0.134,0.052,3.476,2.475,6.691,10.519,0.309,-1.405,25.82,10.059,0,-7.94,-3.993,7.148,-0.396,5.167,-0.378,5.013,-0.192,0.57,43.172,1.653,23.261,0.92,55.535,1.549,1.435,0.138,9.959,1.001,0.589,0.008,0.223,0.017,0.312,0.016,1.571,0,-0.206,-0.151,0.389,7.213,2.541,25.172,43.435,10.509,13091087,110.553,0.177,0.003,0.012,2.522
