Filename,alert_type,Frame_Number,Id,label,passed,Class,FrontDetected,SideDetected,RearDetected,InTraffic,InTheSameLane,MovingSideWays,Rotation,AbsAngle,MinAngle,MaxAngle,AngleToCloserSide,AngleFromTop,AngleFromHorizon,Distance,MaxDistance,MinDistance,DistanceY,DistanceX,VectorToSide,BoxBottom,BoxTop,MaxBoxBottom,MinBoxBottom,BoxArea,MaxBoxArea,MinBoxArea,AreaRatio8Frames,AreaRatio4Frames,MedianDistance,MedianDistanceX,MedianDistanceY,AbsMedianAngle,MedianVelocity,MedianAngularVelocity,AnglesSTD,DistancesSTD,BoxAreaSTD,VelocitySTD,DistanceXInCollision,PredictedX,MaxMinDist8Frames,MaxMinBoxArea8Frames,MaxMinAngle8Frames,DistanceOverArea,TimeToCollision,TimeToCollisionFullSeries,TimeToScreenBottom,TimeToCollisionBoxArea,TimeToCollisionBoxAreaFullSeries,DistancesFit.Intercept,DistancesFit.Slope,YFit.Intercept,YFit.Slope,AbsXFit.Intercept,AbsXFit.Slope,AbsAnglesFit.Intercept,AbsAnglesFit.Slope,AbsAnglesToCloserSideFit.Intercept,AbsAnglesToCloserSideFit.Slope,AbsAnglesToFurtherSideFit.Intercept,AbsAnglesToFurtherSideFit.Slope,AbsAngularVelocityFit.Intercept,AbsAngularVelocityFit.Slope,BoxAreasFit.Intercept,BoxAreasFit.Slope,BoxBottomFit.Intercept,BoxBottomFit.Slope,BoxWidthsFit.Intercept,BoxWidthsFit.Slope,BoxHeightsFit.Intercept,BoxHeightsFit.Slope,RotationsFit.Intercept,RotationsFit.Slope,VelocityFit.Intercept,VelocityFit.Slope,DistancesSlopeOverSTD,AngleSlopeOverSTD,BoxAreaSlopeOverSTD,XFitRadius,BoxRight,BoxLeft,MinLeft,MaxRight,DistanceFromClosestCornerPower,DistanceFromClosestCorner,BoxCenterMovementInX,BoxCenterMovementInY,BoxCenterNormalizedMovementInX,PhysicalRotation
Front_Alert_False_188_Night_Junction.mp4,Front_Collision,27,1217,0,1,0,0,1,0,0,1,1,1.571,4.617,4.617,29.839,28.596,1.556,1.496,2.399,3.437,2.399,2.391,0.193,-1.148,60.08,36.691,60.08,55.098,5.471,5.471,2.664,1.053,1.069,2.504,0.279,2.482,6.402,-0.037,2.362,5.888,0.047,0.195,0.023,6.091,0.224,0.157,0.653,18.696,0.438,60.382,121.098,0,-7.99,-3.979,2.574,-0.02,0.671,-0.112,0.671,-0.112,15.391,-2.568,21.476,0.948,42.344,-1.663,2.201,0.046,4.736,0.08,0.592,0.001,0.288,0,0.218,0.002,1.571,0,-0.069,0.009,0.001,20.945,0.022,5.468,62.241,34.133,34.133,62.241,165586976,1165.183,0.15,0.004,0.013,1.651
Front_Alert_False_188_Night_Junction.mp4,Front_Collision,26,1217,0,1,0,0,1,0,0,1,1,1.571,4.617,4.617,29.839,28.596,1.55,1.456,2.399,3.437,2.399,2.391,0.193,-1.148,60.08,36.691,60.08,55.098,5.471,5.471,2.664,1.053,1.069,2.504,0.279,2.482,6.402,-0.048,2.307,5.888,0.047,0.195,0.022,6.091,0.224,0.157,0.653,18.696,0.438,60.382,121.098,0,-7.99,-3.979,2.574,-0.02,0.671,-0.112,0.671,-0.112,15.391,-2.568,21.476,0.948,42.344,-1.663,2.053,0.072,4.736,0.08,0.592,0.001,0.288,0,0.218,0.002,1.571,0,-0.072,0.007,0.001,20.945,0.022,5.468,62.241,34.133,34.133,62.241,176325584,1165.192,0.15,0.004,0.013,1.651
Front_Alert_False_Side_14.mp4,Front_Collision,21,2408,0,1,0,0,1,0,0,1,1,1.571,29.112,10.267,29.112,22.315,1.157,0.445,1.168,3.581,1.168,1.021,0.568,-0.444,60.115,31.499,60.115,46.393,8.189,8.189,2.455,1.413,1.12,1.289,0.354,1.239,15.968,-0.069,-1.995,7.281,0.153,1.316,0.019,1.906,0.579,0.479,4.073,24.856,0.143,34.58,18.41,0,-7.933,-3.965,1.486,-0.056,-0.18,-0.05,0.18,0.05,5.213,3.073,27.461,-0.54,36.681,2.787,0.86,0.324,4.823,0.546,0.47,0.016,0.372,0.01,0.222,0.011,1.571,0,-0.088,0.005,0.01,32.227,0.922,1.029,59.208,15.805,15.805,59.208,85975136,250.154,-0.179,0.143,-0.03,2.079
Front_Alert_False_Traffic_01.mp4,Front_Collision,386,819,0,1,0,0,0,1,0,1,1,3.142,9.65,34.205,54.614,-19.055,1.475,0.212,1.745,3.432,1.745,1.721,0.293,-0.57,60.157,28.016,60.157,48.819,10.33,10.33,2.671,1.177,1.07,1.894,0.647,1.761,19.94,-0.021,1.854,5.478,0.081,0.789,0.007,3.118,0.266,0.224,2.214,16.658,0.169,47.971,48.299,0,-7.972,-3.975,2.02,-0.036,0.943,-0.085,0.943,-0.085,27.902,-2.275,5.545,-3.191,44.097,-1.313,1.411,0.127,7.554,0.351,0.555,0.006,0.222,0.001,0.276,0.006,2.894,0.014,-0.015,-0.002,0.004,15.735,0.346,3.756,65.362,42.259,11.277,65.362,464700960,1786.078,0.191,0.041,0.016,2.973
Front_Alert_False_Junction_47.mp4,Front_Collision,500,3115,0,1,0,0,1,0,0,1,1,1.571,45.377,45.377,55.766,-4.24,1.046,0.153,1.638,5.19,1.638,1.15,1.166,-0.121,60.167,25.911,60.167,44.767,11.734,11.734,1.168,1.207,1.248,1.919,1.021,1.622,32.179,-0.036,3.376,8.822,0.113,1.218,0.009,2.127,1.421,0.335,3.645,26.048,0.14,15.945,48.179,0,-7.971,-3.916,2.046,-0.036,0.71,0.089,0.71,0.089,18.874,3.801,22.479,-2.558,47.789,2.434,3.097,0.08,7.316,0.352,0.553,0.005,0.364,0.017,0.272,0.006,1.571,0,-0.047,0.003,0.004,42.667,0.371,3.662,97.067,48.339,0.546,97.067,683765248,2336.95,0.345,0.031,-0.004,2.363
Front_Alert_False_193_Night_Junction.mp4,Front_Collision,139,1256,0,1,0,0,0,0,0,1,1,2.898,13.94,13.94,16.981,-18.779,1.404,0.795,2.128,2.864,2.039,2.065,0.513,-0.685,60.183,37.282,60.277,57.818,5.245,5.293,2.897,1.254,1.067,2.084,0.221,2.057,6.183,-0.07,-1.983,5.649,0.094,0.591,0.016,8.523,0.61,0.273,1.621,15.898,0.406,-97.701,78.224,0,-7.957,-3.978,2.173,-0.025,-0.082,0.086,0.082,-0.086,2.086,-2.363,26.3,-1.35,27.851,2.078,1.721,0.075,3.745,0.269,0.588,0.003,0.265,0.001,0.195,0.006,1.571,0,-0.08,0.003,0.002,15.709,0.198,2.993,68.734,42.385,31.416,68.734,282364640,1796.617,-0.158,-0.007,0.017,3.142
Front_Alert_False_Junction_20.mp4,Front_Collision,1508,1113,0,1,1,0,1,0,0,1,1,1.571,47.551,25.53,47.551,2.635,0.946,0.231,2.898,6.483,2.898,1.956,2.138,-0.133,60.185,16.911,60.185,51.006,18.727,18.727,3.741,1.271,1.125,3.232,2.152,2.391,42.292,-0.064,-2.32,5.294,0.217,2.069,0.017,2.788,2.255,0.641,6.172,16.573,0.155,31.27,30.287,0,-7.936,-3.948,3.557,-0.093,-2.071,-0.023,2.071,0.023,34.683,2.174,12.356,-1.745,58.086,1.289,2.155,0.047,11.864,0.915,0.564,0.004,0.442,0.012,0.348,0.011,1.571,0,-0.041,-0.006,0.026,14.799,2.499,4.501,51.031,0,0,51.031,0,0.158,-0.22,-0.023,-0.008,2.401
Front_Alert_False_Lane_Splitting_18.mp4,Front_Collision,484,1401,0,1,0,0,1,1,1,1,1,2.982,15.014,15.014,18.511,-9.543,1.366,0.73,3.055,6.304,3.055,2.95,0.791,-0.506,60.205,31.06,60.205,52.261,8.494,8.494,3.108,1.082,1.027,3.564,0.257,3.554,4.167,-0.29,-1.923,4.653,0.546,0.41,0.052,2.233,0.629,1.497,1.428,17.449,0.36,27.431,10.724,0,-7.987,-3.993,4.383,-0.234,-0.032,0.083,0.032,-0.083,0.358,-1.293,17.595,-0.14,16.884,2.157,2.064,-0.04,7.431,0.163,0.591,0.002,0.159,0.004,0.273,0.003,3.066,-0.001,-0.303,0.004,0.15,6.267,0.092,2.729,65.771,46.237,36.587,65.771,318239264,2137.996,-0.092,0.007,0.002,3.039
Front_Alert_False_Junction_36.mp4,Front_Collision,363,2116,0,1,0,0,1,0,0,1,1,1.571,45.501,45.501,55.821,-4.135,0.876,0.475,1.629,5.196,1.629,1.142,1.162,-0.118,60.26,25.832,60.26,44.806,11.853,11.853,1.166,1.21,1.253,1.914,1.018,1.618,32.186,-0.037,3.358,8.911,0.114,1.242,0.01,2.169,1.431,0.334,3.686,26.261,0.137,16.063,46.13,0,-7.97,-3.913,2.046,-0.038,0.698,0.092,0.698,0.092,18.762,3.836,22.633,-2.601,47.721,2.456,3.065,0.084,7.295,0.37,0.552,0.005,0.363,0.017,0.272,0.006,1.571,0,-0.05,0.004,0.004,43.352,0.406,3.844,97.113,48.384,0.521,97.113,36603888,2341.014,0.349,0.03,-0.004,2.365
Front_Alert_False_Junction_05.mp4,Front_Collision,329,2017,0,1,1,0,1,0,0,1,1,1.571,41.511,2.864,41.511,-6.857,0.917,0.408,3.037,5.902,3.037,2.274,2.013,-0.363,60.551,12.648,60.551,54.156,22.947,22.947,7.053,1.313,1.226,3.578,1.787,3.099,29.991,-0.09,2.056,5.955,0.273,2.895,0.015,2.641,2.066,0.817,8.695,19.071,0.132,17.278,26.733,0,-7.922,-3.903,3.979,-0.115,1.571,0.062,1.571,0.062,20.961,2.58,15.522,-1.265,46.8,1.909,1.749,0.088,12.435,1.175,0.572,0.003,0.313,0.015,0.358,0.014,1.571,0,-0.092,0.001,0.039,21.319,4.146,4.003,91.948,47.332,36.939,91.948,142518480,2240.342,0.207,-0.063,-0.007,2.295
